accX,accY,accZ,gyroX,gyroY,gyroZ,timestamp,Activity
-0.172591,5.065766,7.829169,0.231748,-0.051534,0.157722,34:28.4,1
-0.166604,5.838309,9.210646,-0.288126,0.290936,0.107537,34:28.5,1
-1.414558,6.165379,9.997111,-0.700366,-0.427433,0.215733,34:28.6,1
-0.866997,3.491789,9.987531,-0.209103,-0.045665,0.194147,34:28.7,1
-0.451012,3.435506,8.828641,0.065016,0.092882,0.121302,34:28.8,1
-0.503703,3.455863,7.455546,0.127567,0.033032,0.115243,34:28.9,1
-0.196841,4.310137,7.204368,0.041651,0.088473,0.083579,34:29.0,1
-0.233215,5.480553,7.36229,-0.157173,-0.52371,0.047516,34:29.1,1
-0.652643,5.74161,9.875863,-0.625656,-0.373302,-0.073744,34:29.2,1
-0.260458,3.40482,12.130475,0.727372,-0.163865,0.381025,34:29.3,1
1.75525,3.276836,9.153615,-0.170866,0.338304,-0.72548,34:29.4,1
-0.188757,3.458558,7.605684,-0.034732,0.12173,-0.347002,34:29.5,1
-0.202679,3.901187,7.23266,-0.03226,-0.071446,-0.013327,34:29.6,1
0.101938,4.513265,7.599696,0.176978,0.050031,0.16302,34:29.7,1
0.39907,5.580246,8.310718,-0.416544,-0.042424,-0.213613,34:29.8,1
-1.320105,5.342091,11.141032,-0.263774,-0.302026,0.128655,34:29.9,1
-0.733774,3.133883,10.423724,0.360711,0.313545,0.275056,34:30.0,1
-1.092578,3.311264,8.838221,0.05529,-0.034848,0.038121,34:30.1,1
-0.646206,3.043471,7.886949,0.026823,-0.02159,-0.142341,34:30.2,1
-0.310754,3.740571,7.704029,-0.132252,-0.389347,-0.498984,34:30.3,1
0.174238,4.035907,9.31004,-0.194779,-0.830186,-0.938738,34:30.4,1
0.267194,3.957919,8.880134,-0.537496,-0.39908,-1.4083,34:30.5,1
0.007335,3.007995,10.572065,-0.02713,-0.560935,-1.344451,34:30.6,1
-0.278122,2.487228,9.631272,0.391418,-0.305496,-0.919243,34:30.7,1
-0.867596,2.895279,8.968001,-0.39766,0.141913,-0.532821,34:30.8,1
-1.882635,2.822231,10.536739,-0.067573,-0.511662,-0.501512,34:30.9,1
-0.379311,2.114503,9.600286,-0.031868,-0.09551,-0.048415,36:01.2,1
-0.074545,2.293231,9.689501,0.001826,0.000268,-0.095213,36:01.3,1
-0.185913,2.092349,9.619895,0.022301,0.260336,-0.04766,36:01.4,1
-0.922831,2.210004,9.663455,0.034292,0.169551,-0.06813,36:01.5,1
-1.2984,2.177073,9.588161,0.183684,0.032328,0.302522,36:01.6,1
-1.21667,2.847678,8.967702,-0.041481,-0.222274,0.154718,36:01.7,1
-1.04842,2.806065,9.609118,-0.096768,0.208678,0.023325,36:01.8,1
-1.143023,3.001409,9.044642,-0.042785,-0.031585,0.178145,36:01.9,1
-0.799338,3.343747,8.91067,0.010213,-0.105934,0.084493,36:02.0,1
-0.856519,3.598367,9.129515,0.019345,-0.158304,-0.021101,36:02.1,1
-1.011297,3.502267,9.006471,-0.001556,-0.156013,0.070534,36:02.2,1
-0.853226,2.833458,10.991343,-0.199171,-0.153831,-0.065409,36:02.3,1
-0.35102,1.242416,11.023976,0.223084,-0.115171,-0.02524,36:02.4,1
-0.048948,1.296604,9.605675,0.191879,-0.003756,-0.443107,36:02.5,1
-0.599952,2.023342,8.869356,0.110223,-0.062135,-0.13874,36:02.6,1
-0.483944,2.552642,8.063881,0.075334,-0.021742,-0.011431,36:02.7,1
-0.410147,3.051704,8.262368,0.066502,0.062673,0.029259,36:02.8,1
-0.377814,3.92873,8.679401,0.203777,0.120285,0.181341,36:02.9,1
-0.246537,3.887117,10.964549,0.264672,-0.019826,0.130045,36:03.0,1
-1.051414,3.167862,12.07973,-0.253512,0.002578,-0.083596,36:03.1,1
-1.147065,1.991608,9.733509,0.10377,0.120819,0.537817,36:03.2,1
-0.137564,2.04355,9.267678,0.119276,-0.032805,0.130618,36:03.3,1
-0.696053,2.158362,7.325167,0.029771,0.002272,-0.001382,36:03.4,1
-0.828527,2.913841,7.527846,-0.161587,-0.131631,0.060299,36:03.5,1
-0.652044,4.269721,8.957972,-0.075746,-0.460989,0.089761,36:03.6,1
-0.477208,4.149371,11.039244,-0.007336,-0.118299,0.079635,36:03.7,1
-0.104932,1.907633,12.420721,0.042012,0.15561,0.052714,36:03.8,1
1.381777,1.488505,9.702074,-0.092305,0.073799,-0.648859,36:03.9,1
-0.189057,2.518662,7.483837,0.092233,-0.035193,-0.267935,36:04.0,1
-0.465382,2.990332,7.366182,-0.067419,0.039995,-0.203194,36:04.1,1
-0.266446,3.293302,8.448431,0.184948,0.064183,0.107565,36:04.2,1
0.025297,4.093537,9.998159,-0.271786,-0.216967,-0.206054,36:04.3,1
-1.537603,4.199218,11.096724,-0.645854,-0.586683,0.205006,36:04.4,1
-1.595083,1.71214,10.08423,-0.093271,0.214128,0.633865,36:04.5,1
-1.106649,1.754352,9.957144,0.193513,0.056058,0.438329,36:04.6,1
-0.380359,2.317481,6.628666,0.156055,-0.023637,0.29772,36:04.7,1
-0.101639,2.934198,7.767198,-0.013862,-0.120848,0.060035,36:04.8,1
-0.331411,3.641028,8.761281,-0.157903,-0.340153,-0.133016,36:04.9,1
-0.743055,3.638035,10.99299,-0.369709,-0.357435,-0.032673,36:05.0,1
-0.642614,1.430725,12.248429,0.48379,0.051498,0.228289,36:05.1,1
0.976719,1.782194,9.542207,-0.157219,0.333434,-0.536944,36:05.2,1
-0.132924,2.360142,7.081025,0.12032,0.146053,-0.213347,36:05.3,1
-0.272883,2.728975,7.176227,-0.146527,-0.009592,-0.185382,36:05.4,1
-0.204475,3.41904,8.435558,0.0527,-0.040512,0.206579,36:05.5,1
0.188608,3.522176,11.780353,0.003088,0.273016,0.026016,36:05.6,1
-0.574356,3.652704,12.520264,-0.293102,-0.677276,-0.245579,36:05.7,1
-1.111888,2.183509,10.363699,-0.246814,-0.158752,0.140553,36:05.8,1
-0.661474,1.753903,8.852441,0.307106,0.123529,0.341067,36:05.9,1
-0.159868,2.5968,6.575826,0.134788,-0.257097,0.026362,36:06.0,1
-0.296833,3.246,8.34799,-0.050858,-0.113115,-0.166394,36:06.1,1
-0.428259,3.955075,8.866362,-0.095797,-0.271241,-0.072295,36:06.2,1
-0.464035,4.407884,10.238259,-0.434053,-0.486091,0.109868,36:06.3,1
-0.671653,1.441053,11.634556,0.25049,-0.217615,0.163081,36:06.4,1
0.85607,1.819466,9.533525,-0.018928,0.656958,-0.485048,36:06.5,1
-0.114063,2.633773,7.263795,0.074115,0.182686,-0.388797,36:06.6,1
-0.436642,2.881059,7.770641,-0.090831,-0.014973,-0.108452,36:06.7,1
-0.198936,3.813021,8.327782,0.098337,-0.013091,0.183824,36:06.8,1
-0.416135,3.698359,11.78634,0.005771,0.651308,0.06803,36:06.9,1
-0.43784,2.300416,13.988411,0.449074,-0.018553,0.097514,36:07.0,1
-0.908311,2.282903,8.937464,-0.17462,-0.259846,0.118324,36:07.1,1
-0.438289,1.70226,8.827294,0.012743,0.217689,0.125541,36:07.2,1
-0.724194,2.422862,6.723868,-0.148689,-0.062113,0.062631,36:07.3,1
-0.672851,3.298541,7.771539,-0.163457,-0.206039,0.023588,36:07.4,1
-0.298779,3.784281,10.089169,-0.182756,-0.364092,-0.194169,36:07.5,1
-0.4326,4.053121,12.547358,-0.655126,-0.743248,-0.458625,36:07.6,1
-0.578996,0.92792,10.264605,0.440038,-0.000863,0.472892,36:07.7,1
0.063917,1.244512,9.614507,0.101093,0.758345,-0.577316,36:07.8,1
-0.495021,2.409539,7.128476,0.249616,0.052288,-0.039969,36:07.9,1
-0.694256,2.66895,8.121362,0.074175,0.080327,0.131282,36:08.0,1
-0.550405,3.582949,8.721613,0.031664,0.210091,0.316786,36:08.1,1
0.109872,3.815715,10.319989,0.125664,0.075556,0.149551,36:08.2,1
0.22618,3.045417,14.180162,-0.374838,-0.835446,-0.606588,36:08.3,1
-0.945584,1.621877,9.536519,-0.389964,0.25106,0.119403,36:08.4,1
-1.066233,0.942889,9.748478,0.223771,-0.05017,0.183578,36:08.5,1
-0.053139,1.889521,7.863897,0.307824,-0.270735,-0.212523,36:08.6,1
-0.076491,2.573598,8.696615,0.022073,-0.33416,-0.655468,36:08.7,1
-0.578547,2.983446,9.035511,0.030133,-0.330999,-0.533631,36:08.8,1
-0.837508,3.373385,9.986034,-0.159476,-0.276443,-0.291451,36:08.9,1
-1.169219,1.88503,9.775572,0.410976,-0.103519,-0.181071,36:09.0,1
-0.244142,2.392625,9.721384,-0.087816,-0.082633,0.054593,37:06.0,1
0.234113,2.107917,9.440568,-0.068892,0.033944,0.062769,37:06.1,1
-0.09595,2.237098,9.625284,-0.042846,0.063476,0.104441,37:06.2,1
-1.078507,2.783462,9.153615,-0.017837,0.18647,0.160712,37:06.3,1
-1.266965,2.765499,9.67513,-0.074534,0.07325,0.141105,37:06.4,1
-0.57705,3.306324,8.667875,-0.168112,0.1409,0.282505,37:06.5,1
-0.754431,2.955304,9.355246,-0.098688,-0.096235,0.237339,37:06.6,1
-0.546364,3.451523,8.525222,-0.124359,-0.123737,0.193128,37:06.7,1
-0.450563,3.360811,9.101224,-0.161371,-0.094648,0.165855,37:06.8,1
-0.463586,2.653981,10.97877,-0.34781,0.157462,0.121143,37:06.9,1
-0.82254,1.204246,12.456347,-0.126179,-0.180272,0.024027,37:07.0,1
-0.088765,1.409918,9.020093,0.443637,0.027462,-0.213235,37:07.1,1
0.11047,1.295706,9.536968,0.213918,0.091715,-0.139411,37:07.2,1
0.472867,1.571732,7.311396,0.188772,0.038573,-0.17628,37:07.3,1
0.120799,2.290537,8.090526,-0.068155,0.049916,-0.118488,37:07.4,1
-0.444276,2.558779,10.316846,-0.344857,0.089176,0.102683,37:07.5,1
-1.758244,2.765798,11.308983,-0.179351,0.171406,0.117385,37:07.6,1
0.03383,0.290246,10.158924,0.227598,-0.284614,-0.059288,37:07.7,1
-1.680256,0.537083,12.035572,0.107989,-0.239339,0.51686,37:07.8,1
-0.334704,1.588646,6.671626,0.163342,-0.104677,0.41633,37:07.9,1
0.145797,2.094594,7.170838,-0.040034,-0.14234,0.228563,37:08.0,1
0.100741,2.744692,8.937015,0.015794,-0.118556,0.023214,37:08.1,1
0.090412,2.584675,12.264296,0.056453,-0.497423,-0.204254,37:08.3,1
-0.157473,0.750839,13.946199,0.082032,0.038443,-0.284147,37:08.4,1
-0.465233,1.071172,10.236014,0.097963,0.333777,-0.426025,37:08.5,1
-0.10583,1.407972,7.146888,0.047312,0.011731,-0.239249,37:08.6,1
-0.150287,2.323468,7.117549,-0.088699,0.346179,0.136236,37:08.7,1
0.359702,2.201622,8.409812,-0.014801,-0.032651,0.02737,37:08.8,1
-0.888103,1.568887,13.809234,0.067203,-0.191206,0.014373,37:08.9,1
-1.422043,0.622106,14.288088,-0.23423,-0.591115,0.296287,37:09.0,1
-2.295776,1.263972,11.419603,0.15927,0.262451,0.433358,37:09.1,1
-0.017065,1.308579,5.70329,0.1211,-0.009643,0.339802,37:09.2,1
-0.116308,2.197131,7.067403,-0.100664,-0.058617,0.323387,37:09.3,1
-0.09131,2.714455,8.514594,0.113155,-0.020813,-0.09276,37:09.4,1
0.049996,2.693499,12.136761,-0.132606,-0.507057,-0.214297,37:09.5,1
-0.381856,0.362247,15.055093,0.109731,-0.000937,-0.359318,37:09.6,1
-0.910856,1.124761,10.913056,0.146674,0.111745,-0.449694,37:09.7,1
-0.251926,1.207539,7.581434,0.185968,-0.082195,-0.256596,37:09.8,1
-0.035626,1.999392,6.719976,0.07815,0.223965,0.0712,37:09.9,1
0.544118,2.610571,8.283774,-0.023965,0.072987,0.005354,37:10.0,1
-0.441282,1.878593,12.323124,-0.083312,-0.115311,-0.069187,37:10.1,1
-1.686693,0.311053,14.67159,-0.223252,-0.685497,0.156575,37:10.2,1
-2.371369,2.079476,10.727442,-0.053237,0.757141,0.523684,37:10.3,1
-0.036674,1.228495,6.88149,-0.113165,-0.38647,0.276511,37:10.4,1
-0.515378,1.966012,6.868617,-0.151629,-0.151518,0.106901,37:10.5,1
-0.671204,2.235601,8.587792,-0.06429,-0.225597,0.022748,37:10.6,1
-0.703537,2.261946,12.122541,-0.201963,-0.247034,-0.018159,37:10.7,1
-0.956062,0.78856,14.871724,-0.058773,-0.084626,0.092124,37:10.8,1
-0.209115,0.419428,10.386152,0.099955,0.242551,-0.204041,37:10.9,1
-0.30297,1.115929,7.211553,0.206399,0.044365,-0.335196,37:11.0,1
0.002994,1.571582,7.002887,0.088509,0.097634,0.078814,37:11.1,1
0.495619,2.044748,8.525222,0.022142,0.096938,0.136456,37:11.2,1
-0.157922,1.820514,12.707674,-0.13402,-0.020705,0.038654,37:11.3,1
-2.097738,1.280138,15.480209,-0.31583,-0.022919,0.299116,37:11.4,1
-2.127975,1.530567,9.973161,0.299129,0.944855,0.300417,37:11.5,1
0.142204,0.950673,6.495293,0.035145,-0.412284,0.2018,37:11.6,1
-0.299078,2.025737,7.351213,0.00221,-0.081639,0.092089,37:11.7,1
-0.777633,2.237697,8.363708,0.120302,0.009303,0.024188,37:11.8,1
-0.409698,3.432213,9.30525,-0.372548,0.008965,0.202008,37:11.9,1
-0.595013,2.765349,12.468621,-0.534618,0.214344,0.097514,37:12.0,1
-0.186812,0.551753,11.703862,0.230674,-0.415475,-0.346512,37:12.1,1
-0.108225,0.891097,9.017698,0.298538,0.125825,-0.45778,37:12.2,1
0.097148,1.163231,7.893236,0.425256,0.200163,-0.326416,37:12.3,1
0.570763,1.576522,7.188352,0.194009,0.219695,-0.165411,37:12.4,1
-0.104632,2.668052,9.631272,-0.049213,-0.014715,-0.101416,37:12.5,1
-0.856369,2.823878,11.15166,0.167526,0.235839,-0.35818,37:12.6,1
-1.347049,0.170795,13.005854,-0.041186,-1.037563,-0.189178,37:12.7,1
-1.839375,0.810864,11.329939,0.335212,0.179689,0.192218,37:12.8,1
-0.085622,0.550256,9.576186,-0.007453,-0.177199,0.338123,37:12.9,1
-0.849633,1.826202,8.108189,0.116348,0.089468,-0.070164,37:13.0,1
-0.993783,1.162333,10.062525,0.115703,-0.219387,-0.247879,37:13.1,1
-0.628842,1.095572,10.131681,-0.009473,-0.496926,-0.515215,37:13.2,1
-1.457369,2.19264,10.082883,0.056907,-0.238407,-0.786244,37:13.3,1
-0.234113,1.466351,9.852512,-0.072593,-0.225419,-0.388122,37:13.4,1
0.375868,0.688867,6.823261,0.787402,0.897543,-0.691236,37:13.5,1
-0.643212,2.102378,9.733958,-0.027699,0.012468,0.053556,38:02.8,1
-0.05269,1.628763,9.653426,0.038921,0.081755,0.086604,38:02.9,1
-0.334854,1.80794,9.520801,-0.096166,0.041725,0.216018,38:03.0,1
-0.298779,1.808839,9.73785,-0.094336,-0.03656,0.167455,38:03.1,1
-0.655637,1.663191,9.513018,-0.003679,0.030652,0.138039,38:03.2,1
-1.399739,2.012715,9.783505,-0.099453,0.065086,0.202316,38:03.3,1
-0.651445,2.974016,8.725805,-0.127564,0.130341,0.382633,38:03.4,1
-0.343386,2.50534,9.092841,-0.169818,-0.005589,0.335477,38:03.5,1
-0.409698,2.492766,9.248667,-0.096975,-0.10525,0.204736,38:03.6,1
-0.385898,2.715503,9.589958,0.184411,-0.153492,0.048951,38:03.7,1
-0.202679,2.562521,11.003169,-0.344496,-0.236283,-0.02921,38:03.8,1
-0.415087,0.899779,12.662019,0.477369,0.05544,-0.211575,38:03.9,1
-0.06736,0.721649,10.029144,0.25446,0.072145,-0.162018,38:04.0,1
0.433499,1.073717,8.795859,0.060124,-0.06462,-0.157733,38:04.1,1
0.61073,1.427581,7.486532,0.148944,0.056555,-0.237217,38:04.2,1
-0.006586,2.269131,7.858508,0.004183,0.011004,-0.017503,38:04.3,1
0.034279,3.237917,9.574689,0.008459,-0.011332,-0.104407,38:04.4,1
-0.623154,3.131787,11.257041,-0.736,-0.059642,0.56997,38:04.5,1
-0.679437,0.138462,11.657608,0.197556,0.271818,0.392418,38:04.6,1
-1.963467,0.541723,11.138637,0.142101,-0.215751,0.482365,38:04.7,1
-0.017214,1.590592,6.55906,-0.025656,0.096246,0.385446,38:04.8,1
0.118254,2.412084,7.455546,-0.183429,-0.158246,0.281797,38:04.9,1
0.701591,2.763853,8.485255,-0.249763,0.085105,0.063974,38:05.0,1
0.141156,2.359094,12.829221,-0.502379,-0.049384,-0.190127,38:05.1,1
-0.070952,0.767454,15.319443,0.399438,-0.169223,-0.59645,38:05.2,1
-0.23067,0.947679,10.566527,0.229171,-0.142783,-0.486011,38:05.3,1
-0.121697,1.574276,7.322772,0.327476,0.0251,-0.257029,38:05.4,1
-0.038171,1.973496,6.274352,0.028776,0.249513,0.151356,38:05.5,1
0.47137,2.031875,8.669222,-0.259564,0.453066,0.199248,38:05.6,1
-0.468376,1.530268,13.202096,-0.395079,0.496502,0.102144,38:05.7,1
-1.532363,0.665217,14.870826,0.249027,0.15045,0.12267,38:05.8,1
-1.732198,1.322949,11.10825,-0.090313,-0.429595,0.483926,38:05.9,1
0.179626,1.106649,6.739585,0.091455,-0.008122,0.25958,38:06.0,1
-0.18292,2.620451,6.868317,0.123101,-0.000378,0.162874,38:06.1,1
-0.151036,2.895279,8.503667,-0.247778,-0.012409,0.119851,38:06.2,1
0.329465,2.370171,12.904964,-0.477605,0.27797,-0.043872,38:06.3,1
0.12035,0.281115,13.728252,0.032094,0.261976,-0.399629,38:06.4,1
-0.198637,0.905168,11.378139,0.178648,-0.274724,-0.262644,38:06.5,1
0.257315,1.620979,6.186785,0.180767,0.176079,-0.051019,38:06.6,1
0.461341,1.879941,6.909332,0.205235,0.168038,0.013914,38:06.7,1
0.942141,2.613864,8.534802,-0.012167,0.260231,0.0574,38:06.8,1
-0.002994,2.197879,12.135115,-0.605304,0.65117,0.450675,38:06.9,1
-0.975072,-0.051194,13.202845,0.272915,0.827315,0.153046,38:07.0,1
-1.967658,1.515149,12.962594,-0.010039,-0.653434,0.412555,38:07.1,1
0.479603,1.734892,6.160888,0.047849,-0.005606,0.173531,38:07.2,1
-0.152982,2.340683,7.020401,0.109688,-0.000202,0.024189,38:07.3,1
-0.193248,3.041525,7.976014,-0.35472,0.062055,0.153812,38:07.4,1
0.578098,2.363286,13.273498,-0.654877,0.381742,0.052391,38:07.5,1
-0.222138,-0.058528,14.737004,0.002689,-0.030552,-0.370558,38:07.6,1
-0.349224,0.798739,11.189082,0.192223,-0.226971,-0.396192,38:07.7,1
0.136815,1.370849,6.725365,0.292481,0.235937,-0.310333,38:07.8,1
0.103285,1.989213,6.801406,0.086814,0.136492,-0.058598,38:07.9,1
0.760568,2.669698,8.512947,-0.271047,0.372836,0.128356,38:08.0,1
-0.834515,2.02469,12.641662,-0.698862,0.34789,0.464992,38:08.1,1
-0.71177,0.159418,12.794194,0.280374,0.839993,-0.002386,38:08.2,1
-2.211501,1.251697,14.303506,0.285057,-0.992748,0.211542,38:08.3,1
0.194446,1.917513,4.849016,0.114779,0.117832,0.271103,38:08.4,1
0.037272,1.921704,6.966214,-0.037819,0.159523,0.097637,38:08.5,1
-0.366887,2.691852,8.842711,-0.164221,-0.100631,0.029191,38:08.6,1
-0.172292,2.936743,11.367361,-0.64721,-0.267049,-0.099739,38:08.7,1
0.040416,1.079555,14.434483,0.092831,-0.131305,-0.437205,38:08.8,1
0.058229,0.419128,10.900183,0.160445,-0.001056,-0.544507,38:08.9,1
0.087568,1.22131,7.547904,0.181892,0.440399,-0.233827,38:09.0,1
0.059426,1.501827,8.009095,0.002353,0.102476,-0.015437,38:09.1,1
0.295785,2.297273,8.402477,-0.052136,0.275193,0.080841,38:09.2,1
-0.040117,2.573149,10.686427,0.107823,-0.101062,-0.172457,38:09.3,1
-1.342259,2.209855,12.578942,-0.364182,-0.18894,0.009016,38:09.4,1
-1.123564,-0.290396,10.577304,0.632544,0.643224,0.03388,38:09.5,1
-1.714535,1.108744,10.505454,0.388373,0.112145,0.250862,38:09.6,1
-0.678689,1.152453,8.928783,0.168934,-0.329773,-0.154668,38:09.7,1
-0.969085,2.542014,8.560848,0.41302,0.003502,-0.497234,38:09.8,1
-1.057701,2.281406,8.901689,0.098946,-0.411067,-0.604602,38:09.9,1
-1.695524,3.538192,8.034243,-0.214321,-0.411053,-0.523615,38:10.0,1
-0.778381,2.506687,9.521999,-0.018598,-0.126133,0.028747,39:13.6,1
-0.383353,2.420018,9.227861,-0.106981,-0.202907,0.065772,39:13.7,1
-0.160167,2.276316,9.965377,-0.208145,-0.180374,-0.020534,39:13.8,1
0.821641,2.319277,8.155042,0.187279,-0.261542,-0.070446,39:13.9,1
0.181572,2.672842,10.140513,-0.242828,0.05138,0.039792,39:14.0,1
0.57226,2.969675,8.742121,-0.42112,-0.488368,-0.014499,39:14.1,1
0.436343,2.660567,9.09359,-0.465817,-0.206899,0.140805,39:14.2,1
1.164728,1.950743,9.340726,-0.332131,0.081569,0.509952,39:14.3,1
1.036744,1.907783,10.230027,-0.122636,0.309244,0.236874,39:14.4,1
0.414638,2.023043,11.785741,0.238299,0.303488,0.041082,39:14.5,1
0.436642,0.613424,11.206745,-0.01811,0.005947,0.013494,39:14.6,1
-1.015339,0.24549,10.710677,0.404025,0.347459,0.123516,39:14.7,1
0.013173,1.185535,7.425159,0.538591,-0.582019,0.270523,39:14.8,1
0.229323,1.542692,7.650141,0.12872,0.091431,0.608575,39:14.9,1
0.873883,2.182761,7.541467,-0.125864,-0.120515,0.387884,39:15.0,1
1.170566,2.744243,9.312884,-0.113461,-0.027099,0.07886,39:15.1,1
1.153352,1.815874,12.769047,-0.179463,-0.082028,-0.113028,39:15.2,1
0.786465,0.607587,14.133908,-0.062382,-0.313485,-0.446995,39:15.3,1
0.176932,0.957409,10.819201,0.564644,-0.055059,-0.62541,39:15.4,1
0.530347,1.592089,6.353388,0.31201,-0.42772,-0.458875,39:15.5,1
0.38934,2.186353,6.930288,0.395297,0.196042,-0.322611,39:15.6,1
0.861459,2.66386,8.581355,0.121953,0.186452,0.027174,39:15.7,1
0.427212,2.186952,12.256512,-0.191434,0.192732,0.104379,39:15.8,1
0.381257,0.809966,14.309793,-0.306433,-0.320336,-0.19958,39:15.9,1
-1.241967,2.309398,11.253149,0.498951,-0.274509,-0.397559,39:16.0,1
0.733026,1.514401,5.795349,0.193632,-0.394235,0.707812,39:16.1,1
0.911904,2.432142,6.783444,0.278389,0.206155,0.416899,39:16.2,1
1.144071,3.038531,8.481812,-0.024943,0.173368,0.166387,39:16.3,1
1.113534,3.174748,11.843072,-0.002905,-0.024492,-0.106794,39:16.4,1
0.597857,1.637146,14.013259,-0.254172,-0.340936,-0.351204,39:16.5,1
0.637225,1.460064,11.622431,0.351521,-0.180933,-0.59047,39:16.6,1
0.402663,1.878294,6.735843,0.231991,-0.190464,-0.653762,39:16.7,1
0.427511,2.571353,6.22241,0.321184,0.072748,-0.632205,39:16.8,1
0.4811,2.767894,8.774603,0.244052,0.413813,-0.144928,39:16.9,1
-0.427511,2.19294,12.592713,-0.212677,0.259738,0.161117,39:17.0,1
-0.479154,1.790427,13.16153,-0.319913,-0.225341,-0.05185,39:17.1,1
-1.608106,1.935775,12.55604,-0.040259,-0.13337,-0.113658,39:17.2,1
0.104632,1.749412,6.307134,-0.022556,-0.621225,0.239437,39:17.3,1
